episode_reward,moving_avg
-68.35013091564178,-60.14830467104912
-52.70405271649361,-60.731612232327464
-48.266769617795944,-57.922190475463864
-49.53107351064682,-58.72345818281174
-57.404637694358826,-59.77580875456333
-46.84390211105347,-58.16406050026417
-43.21149265766144,-56.50364465117455
-35.61968097090721,-55.50150034725666
-46.19129765033722,-52.855560418963435
-77.96113795042038,-52.60841757953167
-50.06928515434265,-50.78033300340176
-41.85359689593315,-49.69528742134571
-36.87019005417824,-48.55562946498394
-73.67145204544067,-50.96966731846332
-66.9317319393158,-51.922376742959024
-45.52529561519623,-51.7905160933733
-64.85615131258965,-53.95498195886612
-65.8553816974163,-56.978552031517026
-43.40003287792206,-56.699425554275514
-66.60219639539719,-55.56353139877319
-45.531461507081985,-55.10974903404713
-79.1090173125267,-58.83529107570648
-71.55080252885818,-62.30335232317448
-72.41612082719803,-62.17781920135021
-39.10258585214615,-59.394904592633246
-61.44065871834755,-60.98644090294838
-71.68765702843666,-61.66959147453308
-42.259048998355865,-59.30995820462704
-51.40846598148346,-60.11080151498318
-63.822594702243805,-59.83284134566784
-48.92882239818573,-60.17257743477821
-65.50267940759659,-58.8119436442852
-45.329018130898476,-56.189765204489234
-55.078515380620956,-54.45600465983152
-69.9535528421402,-57.54110135883093
-38.86333076655865,-55.28336856365204
-47.6878405213356,-52.88338691294193
-61.24734243750572,-54.78221625685692
-38.50133031606674,-53.491502690315244
-49.993997901678085,-52.108643010258675
-46.86547248065472,-51.90230801850557
-44.69530963897705,-49.82157104164362
-35.31423518061638,-48.82009274661541
-42.42347911000252,-47.55458911955357
-46.28419038653374,-45.18765287399292
-45.64416302740574,-45.865736100077626
-47.61857610940933,-45.858809658885
-85.06804528832436,-48.24087994396687
-50.20717892050743,-49.41146480441093
-44.06832331418991,-48.818897345662116
-56.09346857666969,-49.74169695526361
-66.48618280887604,-51.92078427225351
-61.89205685257912,-54.57856643944979
-70.96049270033836,-57.43226779848337
-63.07099398970604,-59.1109481588006
-45.850084096193314,-59.13154026567936
-45.26088002324104,-58.89577065706253
-46.29067003726959,-55.018033131957054
-41.30658920109272,-54.12797416001558
-59.88190880417824,-55.70933270901442
-43.85607314109802,-54.485593165457246
-42.04545006155968,-52.04151989072561
-37.96722996234894,-49.6490372017026
-33.79679811000824,-45.93266774266958
-68.73332527279854,-46.49890087097883
-38.145792573690414,-45.72847171872854
-71.42362761497498,-48.344746477901936
-67.44638919830322,-50.4603183940053
-65.13514447212219,-52.843173921108246
-43.07353964447975,-51.1623370051384
-68.81312754750252,-53.65804244577885
-58.30554313957691,-55.28405175358057
-37.159221827983856,-55.20325094014406
-65.65573075413704,-58.38914420455694
-60.85331800580025,-57.601143477857114
-46.2472930252552,-58.41129352301359
-39.92616905272007,-55.261547666788104
-64.16239947080612,-54.933148694038394
-59.97889766097069,-54.41752401292324
-40.702637791633606,-54.18043382763862
-73.75190621614456,-54.67431169450283
-37.68722514808178,-52.61247989535332
-67.4218719303608,-55.63874490559101
-79.02953064441681,-56.97612489461899
-49.929107427597046,-55.88370383679867
-62.53004211187363,-57.51197874546051
-66.40427833795547,-60.15978967398405
-66.83994764089584,-60.42754449099302
-67.08795166015625,-61.13844989091158
-39.37742692232132,-61.00592880398035
-36.46797125041485,-57.277535307407376
-39.0764749199152,-57.41646028459072
-44.621799528598785,-55.13645304441452
-38.27021290361881,-51.06052127033472
-36.664406806230545,-49.73405120819807
-48.85717508196831,-48.36676450520754
-37.612866908311844,-45.48762336224318
-45.70025210082531,-43.37365380823612
-43.06717389822006,-40.971576032042506
-40.766056805849075,-41.110439020395276
-65.14391851425171,-43.97803374677896
-65.31969636678696,-46.60235589146614
-44.50901800394058,-46.59107773900032
-42.98155102133751,-47.06221155077219
-39.05474364757538,-47.30124523490667
-37.20111882686615,-46.135639609396456
-62.484102725982666,-48.62276319116354
-45.83085197210312,-48.63582317829132
-39.29568938910961,-48.258674727380274
-68.53879463672638,-51.035948510468
-35.55169005692005,-48.07672566473484
-66.5257537662983,-48.197331404685976
-35.974803596735,-47.343909963965416
-62.705077677965164,-49.316262629628184
-70.25553369522095,-52.43634163439274
-66.49388653039932,-55.36561840474606
-43.82946968078613,-53.5001551002264
-36.3934655636549,-52.55641645938158
-65.2554686665535,-55.152394387125966
